time=2026-09-10T22:03:01.026-05:00 level=INFO msg="cleanup: killed chrome process" pid=22800
time=2026-09-10T22:03:01.686-05:00 level=INFO msg="cleanup: killed orphaned chrome processes" count=1 profileDir=C:\Users\edwin\AppData\Roaming\pinchtab\profiles\default
time=2026-09-10T22:03:01.749-05:00 level=INFO msg=orchestration strategy=always-on allocation=fcfs
time=2026-09-10T22:03:01.751-05:00 level=INFO msg="dashboard started" port=9867
time=2026-09-10T22:03:01.758-05:00 level=INFO msg="starting instance process" id=inst_6caad0cd profile=default port=9868
time=2026-09-10T22:03:01.765-05:00 level=INFO msg="always-on: instance launched" id=inst_6caad0cd profile=default
time=2026-09-10T22:03:03.298-05:00 level=WARN msg=request requestId=bb601de36652a8af method=GET path=/tabs/8470865C7578F85B35AAB68ED7ED2D9F/title status=404 ms=0 code=error error="tab \"8470865C7578F85B35AAB68ED7ED2D9F\" not found"
time=2026-09-10T22:03:03.682-05:00 level=INFO msg=request requestId=53dd52ea8bb18c33 method=GET path=/health status=200 ms=268
time=2026-09-10T22:03:13.930-05:00 level=ERROR msg="request failed" requestId=b518f47c3c8b3d43 status=503 code=error cause="instance not ready after 10s (may be restarting)"
time=2026-09-10T22:03:13.930-05:00 level=ERROR msg=request requestId=b518f47c3c8b3d43 method=POST path=/navigate status=503 ms=10164 code=error error="instance not ready after 10s (may be restarting)"
time=2026-09-10T22:03:22.943-05:00 level=INFO msg="instance ready" id=inst_6caad0cd port=9868
READY
HINT: export PINCHTAB_SESSION=$(pinchtab session create --agent-id myagent) && pinchtab nav https://pinchtab.com --snap
time=2026-09-10T22:03:26.650-05:00 level=INFO msg=request requestId=1aa27307a0180cea method=GET path=/snapshot status=200 ms=1813
time=2026-09-10T22:03:44.242-05:00 level=INFO msg=request requestId=b956d7d10c7eb9cd method=GET path=/snapshot status=200 ms=1300
time=2026-09-10T22:03:57.787-05:00 level=INFO msg=request requestId=b45d135b9a680ee6 method=POST path=/action status=200 ms=21
time=2026-09-10T22:04:07.218-05:00 level=INFO msg=request requestId=55835a48153e4908 method=GET path=/text status=200 ms=2834
time=2026-09-10T22:04:10.009-05:00 level=INFO msg=request requestId=d9aae49212a8c739 method=GET path=/errors status=200 ms=1
time=2026-09-10T22:11:17.835-05:00 level=INFO msg=request requestId=0c080ab7a5bb4d93 method=GET path=/health status=200 ms=26
time=2026-09-10T22:11:19.605-05:00 level=INFO msg=request requestId=b1e32498d91ba966 method=POST path=/navigate status=200 ms=1769
time=2026-09-10T22:11:27.745-05:00 level=INFO msg=request requestId=21bfc21867dd3552 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-10T22:11:31.031-05:00 level=INFO msg=request requestId=a9a89917795fdd9b method=GET path=/capture status=200 ms=3218
time=2026-09-10T22:18:38.301-05:00 level=INFO msg=request requestId=283be70dfd889467 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=9
time=2026-09-10T22:18:38.439-05:00 level=INFO msg=request requestId=c3b7aa84cb0ac023 method=GET path=/health status=200 ms=25
time=2026-09-10T22:18:39.311-05:00 level=INFO msg=request requestId=0bb9aabe82d3d20c method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=871
time=2026-09-10T22:18:51.616-05:00 level=INFO msg=request requestId=5889f195cd87e211 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-10T22:18:52.351-05:00 level=INFO msg=request requestId=fe9a1d283688f155 method=GET path=/capture status=200 ms=647
time=2026-09-10T22:18:56.899-05:00 level=INFO msg=request requestId=834c20fa620524a3 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:19:00.474-05:00 level=INFO msg=request requestId=42fdbf2e0ce0a28c method=GET path=/capture status=200 ms=3493
time=2026-09-10T22:37:33.416-05:00 level=INFO msg=request requestId=b2e81425de2f0fe2 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=8
time=2026-09-10T22:37:33.527-05:00 level=INFO msg=request requestId=7a41c8110179590d method=GET path=/health status=200 ms=27
time=2026-09-10T22:37:34.768-05:00 level=INFO msg=request requestId=5317705bed6c6a97 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1240
time=2026-09-10T22:37:46.535-05:00 level=INFO msg=request requestId=4a5da7bf336042e9 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=11
time=2026-09-10T22:37:48.911-05:00 level=INFO msg=request requestId=4872edcebeaed97b method=GET path=/snapshot status=200 ms=2267
time=2026-09-10T22:37:53.736-05:00 level=INFO msg=request requestId=e77bacdea60347bd method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=5
time=2026-09-10T22:37:53.912-05:00 level=INFO msg=request requestId=75606defbc0e110e method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=100
time=2026-09-10T22:38:04.638-05:00 level=INFO msg=request requestId=2a9981234a3dc051 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=29
time=2026-09-10T22:38:04.832-05:00 level=INFO msg=request requestId=85f612acc16cd3d7 method=GET path=/errors status=200 ms=0
time=2026-09-10T22:38:11.874-05:00 level=INFO msg=request requestId=583392114bc94217 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=1
time=2026-09-10T22:38:11.958-05:00 level=INFO msg=request requestId=bd3ef8d831d31248 method=GET path=/console status=200 ms=0
time=2026-09-10T22:42:23.512-05:00 level=INFO msg=request requestId=2a0fe5738a924c61 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-10T22:42:23.724-05:00 level=INFO msg=request requestId=6295245fb0d766e5 method=GET path=/health status=200 ms=32
time=2026-09-10T22:42:24.768-05:00 level=INFO msg=request requestId=4d241858b2ea8a79 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1039
time=2026-09-10T22:42:38.303-05:00 level=INFO msg=request requestId=57e19cdff1dd3d3a method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=13
time=2026-09-10T22:42:38.852-05:00 level=INFO msg=request requestId=ad89a83f8c50060a method=GET path=/snapshot status=200 ms=428
time=2026-09-10T22:43:05.197-05:00 level=INFO msg=request requestId=5af3553d33b4cea1 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=17
time=2026-09-10T22:43:05.715-05:00 level=INFO msg=request requestId=41046fc9a56504ac method=GET path=/snapshot status=200 ms=378
time=2026-09-10T22:43:51.746-05:00 level=INFO msg=request requestId=acd9ab412ef8b41f method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-10T22:43:51.878-05:00 level=INFO msg=request requestId=b2ff1ad8e2a501b5 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=48
time=2026-09-10T22:43:56.429-05:00 level=INFO msg=request requestId=eba7b02510704282 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=9
time=2026-09-10T22:43:56.580-05:00 level=INFO msg=request requestId=ced453604cfa0010 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=62
time=2026-09-10T22:44:02.075-05:00 level=INFO msg=request requestId=13efdeaecb3321d9 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:44:02.423-05:00 level=INFO msg=request requestId=c9795503075f35e0 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=238
time=2026-09-10T22:44:22.483-05:00 level=INFO msg=request requestId=436323578dce7569 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-10T22:44:22.571-05:00 level=INFO msg=request requestId=a42d686a95c0b137 method=GET path=/url status=200 ms=2
time=2026-09-10T22:44:41.845-05:00 level=INFO msg=request requestId=1c7e27d1190740b0 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=5
time=2026-09-10T22:44:44.586-05:00 level=INFO msg=request requestId=43ef7e0e3a4c45bf method=GET path=/snapshot status=200 ms=2560
time=2026-09-10T22:45:00.526-05:00 level=INFO msg=request requestId=c1d4fb3ba9fbb4a9 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=14
time=2026-09-10T22:45:00.689-05:00 level=INFO msg=request requestId=e4405d449729e76e method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=46
time=2026-09-10T22:45:06.208-05:00 level=INFO msg=request requestId=084d79e58b42f52b method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=11
time=2026-09-10T22:45:06.417-05:00 level=INFO msg=request requestId=0e341c49afe0f349 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=55
time=2026-09-10T22:45:12.400-05:00 level=INFO msg=request requestId=b1f1008b4c536a1a method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=8
time=2026-09-10T22:45:12.531-05:00 level=INFO msg=request requestId=df04558f0f6608bd method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=45
time=2026-09-10T22:45:16.454-05:00 level=INFO msg=request requestId=16291b46e30c75af method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:45:16.587-05:00 level=INFO msg=request requestId=a29b0f5509836e51 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=39
time=2026-09-10T22:45:24.563-05:00 level=INFO msg=request requestId=0bee42318ba8ab40 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-10T22:45:32.493-05:00 level=INFO msg=request requestId=9de80003d8f94752 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/find status=200 ms=7781
time=2026-09-10T22:45:51.924-05:00 level=INFO msg=request requestId=347198643b051a6f method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=15
time=2026-09-10T22:45:52.439-05:00 level=INFO msg=request requestId=ba39ae877bfbca5f method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=378
time=2026-09-10T22:46:09.063-05:00 level=INFO msg=request requestId=defa53f357fb835d method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=8
time=2026-09-10T22:46:12.336-05:00 level=INFO msg=request requestId=b742106303e95074 method=GET path=/text status=200 ms=3127
time=2026-09-10T22:54:48.466-05:00 level=INFO msg=request requestId=caba9fd9d905fcf4 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=8
time=2026-09-10T22:54:48.588-05:00 level=INFO msg=request requestId=ae2095e9a88c4eb6 method=GET path=/health status=200 ms=26
time=2026-09-10T22:54:50.076-05:00 level=INFO msg=request requestId=be6d4fc0ae3bad42 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1486
time=2026-09-10T22:55:03.813-05:00 level=INFO msg=request requestId=3ce12a31a1c801d0 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=6
time=2026-09-10T22:55:07.701-05:00 level=INFO msg=request requestId=0c4a595431b038ec method=GET path=/text status=200 ms=3775
time=2026-09-10T22:55:23.273-05:00 level=INFO msg=request requestId=8b2a4fafca79e189 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:55:23.407-05:00 level=INFO msg=request requestId=79a173e1d90002c2 method=GET path=/url status=200 ms=5
time=2026-09-10T22:55:28.964-05:00 level=INFO msg=request requestId=5361eec369e15943 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=7
time=2026-09-10T22:55:31.631-05:00 level=INFO msg=request requestId=ba7537f766fe37d9 method=GET path=/text status=200 ms=2565
time=2026-09-10T22:56:02.649-05:00 level=INFO msg=request requestId=6984e4f1a0048542 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=9
time=2026-09-10T22:56:10.087-05:00 level=INFO msg=request requestId=952bae2e5b42c0c1 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/find status=200 ms=7287
time=2026-09-10T22:56:26.473-05:00 level=INFO msg=request requestId=df56a9059fd7dfee method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-10T22:56:26.544-05:00 level=WARN msg=request requestId=d45fdc1ea19dd331 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=409 ms=0 code=vocab_superseded error="ref vocabulary superseded: a newer snapshot renumbered this tab's refs, so a ref from the earlier snapshot no longer denotes the node it named — re-snapshot and use the refs from the latest response"
time=2026-09-10T22:56:38.314-05:00 level=INFO msg=request requestId=8d70c1c2c0facc6c method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:56:40.619-05:00 level=INFO msg=request requestId=94a820ce52527eaf method=GET path=/text status=200 ms=2240
time=2026-09-10T22:56:54.484-05:00 level=INFO msg=request requestId=3372664e513bb035 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=5
time=2026-09-10T22:56:56.760-05:00 level=INFO msg=request requestId=dc3a253a172a9981 method=GET path=/snapshot status=200 ms=2201
time=2026-09-10T22:57:02.615-05:00 level=INFO msg=request requestId=c056f05596783357 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-10T22:57:15.277-05:00 level=INFO msg=request requestId=cf68091816a75e7c method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=7
time=2026-09-10T22:57:17.904-05:00 level=INFO msg=request requestId=a9e6a4b8011868ef method=GET path=/text status=200 ms=2524
time=2026-09-10T22:57:42.291-05:00 level=INFO msg=request requestId=3e3e32e813fa359d method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=5
time=2026-09-10T22:57:42.637-05:00 level=INFO msg=request requestId=5d656db857ecd185 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=215
time=2026-09-10T22:57:56.201-05:00 level=INFO msg=request requestId=883a942edee6e24e method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-10T22:58:00.262-05:00 level=INFO msg=request requestId=daad5a7c8a0a1b49 method=GET path=/text status=200 ms=3972
time=2026-09-10T22:58:54.476-05:00 level=INFO msg=request requestId=e21bc75a567d7cb2 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=15
time=2026-09-10T22:58:54.655-05:00 level=INFO msg=request requestId=b25c5bb267829abf method=GET path=/cookies status=200 ms=6
time=2026-09-10T23:07:03.621-05:00 level=INFO msg=request requestId=84e5ffafe3c1d098 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-10T23:07:03.868-05:00 level=INFO msg=request requestId=9544b5d8fe6c31e6 method=GET path=/health status=200 ms=73
time=2026-09-10T23:07:04.952-05:00 level=INFO msg=request requestId=6feeeaba5c94a076 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1084
time=2026-09-10T23:07:22.071-05:00 level=INFO msg=request requestId=d49f90c9cb68131e method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
